дата,номер_документа,контрагент,товар,количество,цена,сумма,дата_оплаты,менеджер
2024-05-27,РН-202405-0219,ТОО Астана Комплект,Кресло офисное,20,12000,240000,2024-06-02,Дана Оспанова
2024-05-27,РН-202405-0220,ТОО Жетысу Маркет,Кресло офисное,37,64600,2390200,,Дана Оспанова
2024-05-28,РН-202405-0221,ТОО Shymkent Opt,МФУ струйное,34,104700,3559800,2024-06-22,Айгуль Нурланова
2024-05-29,РН-202405-0222,ТОО Silk Way Trading,Принтер лазерный,13,10000,130000,2024-06-27,Тимур Сергеев
2024-05-29,РН-202405-0223,ТОО Достык Trade,Папки-регистраторы,33,128600,4243800,2024-06-21,Дана Оспанова
2024-05-31,РН-202405-0224,ТОО Достык Trade,Калькулятор,21,130400,2738400,2024-06-03,Дана Оспанова
2024-05-31,РН-202405-0225,ТОО Аспан Технолоджи,Калькулятор,22,148200,3260400,2024-06-05,Тимур Сергеев
2024-05-31,РН-202405-0226,ТОО Батыс Снаб,Флеш-накопитель 32 ГБ,45,74300,3343500,2024-06-02,Дана Оспанова
2024-06-01,РН-202406-0227,ТОО Каспий Логистик,Бумага А4 (пачка),15,83000,1245000,2024-06-23,Тимур Сергеев
2024-06-03,РН-202406-0228,ИП Смагулова А.К.,Степлер,23,76700,1764100,,Тимур Сергеев
2024-06-04,РН-202406-0229,ТОО Батыс Снаб,Калькулятор,25,108400,2710000,2024-06-06,Тимур Сергеев
2024-06-06,РН-202406-0230,ТОО Алматы Строй Сервис,Бумага А4 (пачка),46,25700,1182200,2024-07-06,Тимур Сергеев
2024-06-07,РН-202406-0231,ТОО Shymkent Opt,Монитор 24 дюйма,13,146200,1900600,2024-06-18,Тимур Сергеев
2024-06-08,РН-202406-0232,ТОО КазОфисТорг,Кресло офисное,48,67700,3249600,,Айгуль Нурланова
2024-06-08,РН-202406-0233,ТОО Аспан Технолоджи,Калькулятор,15,66000,990000,,Айгуль Нурланова
2024-06-10,РН-202406-0234,ИП Смагулова А.К.,Проектор,31,31400,973400,2024-07-04,Дана Оспанова
2024-06-10,РН-202406-0235,ТОО Аспан Технолоджи,МФУ струйное,27,129700,3501900,2024-06-12,Тимур Сергеев
2024-06-11,РН-202406-0236,ИП Смагулова А.К.,Бумага А4 (пачка),42,20500,861000,2024-07-11,Айгуль Нурланова
2024-06-13,РН-202406-0237,ТОО Silk Way Trading,Картридж для принтера,3,50900,152700,2024-06-21,Тимур Сергеев
2024-06-13,РН-202406-0238,ИП Иванова О.В.,Папки-регистраторы,32,53800,1721600,2024-06-13,Дана Оспанова
2024-06-13,РН-202406-0239,ТОО Алматы Строй Сервис,Бумага А4 (пачка),37,33100,1224700,2024-06-17,Тимур Сергеев
2024-06-15,РН-202406-0240,ТОО Каспий Логистик,Степлер,9,137200,1234800,2024-06-17,Тимур Сергеев
2024-06-17,РН-202406-0241,ИП Ахметов Е.С.,Проектор,30,72400,2172000,,Дана Оспанова
2024-06-17,РН-202406-0242,ТОО Silk Way Trading,Ручки шариковые (уп. 50 шт),19,55600,1056400,2024-07-06,Айгуль Нурланова
2024-06-17,РН-202406-0243,ИП Иванова О.В.,Папки-регистраторы,33,91000,3003000,2024-06-28,Айгуль Нурланова
2024-06-17,РН-202406-0244,ТОО Shymkent Opt,Ручки шариковые (уп. 50 шт),16,6800,108800,2024-07-02,Тимур Сергеев
2024-06-21,РН-202406-0245,ИП Смагулова А.К.,Бумага А4 (пачка),38,8000,304000,2024-06-29,Тимур Сергеев
2024-06-21,РН-202406-0246,ТОО Батыс Снаб,Принтер лазерный,30,85400,2562000,2024-07-20,Айгуль Нурланова
2024-06-22,РН-202406-0247,ТОО Жетысу Маркет,Бумага А4 (пачка),45,35800,1611000,2024-07-18,Дана Оспанова
2024-06-25,РН-202406-0248,ТОО Достык Trade,Монитор 24 дюйма,9,130400,1173600,2024-06-27,Айгуль Нурланова
2024-06-28,РН-202406-0249,ТОО Астана Комплект,Проектор,36,128400,4622400,2024-07-04,Дана Оспанова
2024-06-28,РН-202406-0250,ТОО Достык Trade,Стол офисный,49,26500,1298500,2024-07-07,Дана Оспанова
2024-06-29,РН-202406-0251,ТОО Аспан Технолоджи,Кресло офисное,8,21200,169600,2024-07-23,Дана Оспанова
2024-06-29,РН-202406-0252,ИП Ахметов Е.С.,МФУ струйное,21,141400,2969400,,Тимур Сергеев
2024-07-03,РН-202407-0253,ТОО Достык Trade,Проектор,38,133100,5057800,2024-07-11,Айгуль Нурланова
2024-07-04,РН-202407-0254,ТОО Shymkent Opt,МФУ струйное,33,113900,3758700,2024-08-01,Тимур Сергеев
2024-07-06,РН-202407-0255,ТОО Жетысу Маркет,Бумага А4 (пачка),47,10700,502900,2024-07-19,Тимур Сергеев
2024-07-08,РН-202407-0256,ИП Тлеуов Б.М.,Принтер лазерный,3,116100,348300,2024-07-16,Тимур Сергеев
2024-07-08,РН-202407-0257,ТОО Аспан Технолоджи,Шредер бумаги,5,128800,644000,2024-07-19,Айгуль Нурланова
2024-07-10,РН-202407-0258,ТОО Жетысу Маркет,Стол офисный,47,115200,5414400,2024-07-29,Тимур Сергеев
2024-07-11,РН-202407-0259,ТОО Астана Комплект,Принтер лазерный,44,146400,6441600,2024-07-23,Айгуль Нурланова
2024-07-15,РН-202407-0260,ТОО Каспий Логистик,Папки-регистраторы,34,38400,1305600,2024-07-21,Дана Оспанова
2024-07-16,РН-202407-0261,ТОО Алматы Строй Сервис,Бумага А4 (пачка),30,147700,4431000,2024-07-17,Тимур Сергеев
2024-07-19,РН-202407-0262,ТОО Shymkent Opt,Ручки шариковые (уп. 50 шт),10,77300,773000,2024-07-29,Айгуль Нурланова
2024-07-19,РН-202407-0263,ТОО Алматы Строй Сервис,Флеш-накопитель 32 ГБ,43,114900,4940700,2024-07-19,Дана Оспанова
2024-07-20,РН-202407-0264,ТОО Достык Trade,Монитор 24 дюйма,5,31400,157000,,Дана Оспанова
2024-07-20,РН-202407-0265,ИП Тлеуов Б.М.,Стол офисный,46,17800,818800,2024-08-03,Айгуль Нурланова
2024-07-22,РН-202407-0266,ТОО Каспий Логистик,Монитор 24 дюйма,49,19800,970200,2024-08-21,Айгуль Нурланова
2024-07-22,РН-202407-0267,ИП Тлеуов Б.М.,Ручки шариковые (уп. 50 шт),37,89100,3296700,2024-08-19,Айгуль Нурланова
2024-07-22,РН-202407-0268,ТОО Каспий Логистик,Монитор 24 дюйма,27,83800,2262600,,Тимур Сергеев
2024-07-23,РН-202407-0269,ИП Тлеуов Б.М.,Шредер бумаги,48,50900,2443200,2024-07-31,Дана Оспанова
2024-07-24,РН-202407-0270,ИП Смагулова А.К.,Стол офисный,43,104900,4510700,2024-08-04,Дана Оспанова
2024-07-25,РН-202407-0271,ТОО Nur Business Group,Папки-регистраторы,12,146000,1752000,2024-08-23,Тимур Сергеев
2024-07-25,РН-202407-0272,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,30,20100,603000,2024-08-17,Дана Оспанова
2024-07-26,РН-202407-0273,ИП Ахметов Е.С.,Папки-регистраторы,16,71800,1148800,2024-08-16,Айгуль Нурланова
2024-07-27,РН-202407-0274,ИП Иванова О.В.,Ручки шариковые (уп. 50 шт),6,145400,872400,2024-08-15,Дана Оспанова
2024-07-27,РН-202407-0275,ТОО Батыс Снаб,Кресло офисное,39,15400,600600,,Айгуль Нурланова
2024-07-29,РН-202407-0276,ТОО Жетысу Маркет,Кресло офисное,47,61900,2909300,2024-07-31,Тимур Сергеев
2024-07-29,РН-202407-0277,ТОО Аспан Технолоджи,Ноутбук офисный,14,54800,767200,,Дана Оспанова
2024-07-30,РН-202407-0278,ТОО Жетысу Маркет,Степлер,16,58600,937600,2024-08-15,Тимур Сергеев
2024-07-30,РН-202407-0279,ТОО Астана Комплект,Степлер,35,99200,3472000,2024-08-21,Тимур Сергеев
2024-07-31,РН-202407-0280,ТОО Shymkent Opt,Принтер лазерный,47,128100,6020700,2024-08-20,Тимур Сергеев
2024-08-01,РН-202408-0281,ТОО Алматы Строй Сервис,Кресло офисное,15,43300,649500,2024-08-05,Айгуль Нурланова
2024-08-01,РН-202408-0282,ТОО Silk Way Trading,Папки-регистраторы,19,45000,855000,2024-08-15,Айгуль Нурланова
2024-08-03,РН-202408-0283,ТОО Shymkent Opt,Калькулятор,42,93500,3927000,2024-09-02,Тимур Сергеев
2024-08-09,РН-202408-0284,ТОО Батыс Снаб,Проектор,32,125800,4025600,2024-08-20,Айгуль Нурланова
2024-08-13,РН-202408-0285,ТОО Silk Way Trading,Калькулятор,32,53200,1702400,2024-08-17,Дана Оспанова
2024-08-13,РН-202408-0286,ТОО Алматы Строй Сервис,Картридж для принтера,5,17700,88500,2024-08-14,Айгуль Нурланова
2024-08-14,РН-202408-0287,ТОО КазОфисТорг,Проектор,10,7400,74000,2024-09-09,Айгуль Нурланова
2024-08-14,РН-202408-0288,ТОО Батыс Снаб,Стол офисный,40,131700,5268000,2024-09-07,Дана Оспанова
2024-08-15,РН-202408-0289,ТОО Астана Комплект,Ноутбук офисный,2,143800,287600,2024-08-15,Дана Оспанова
2024-08-16,РН-202408-0290,ТОО Каспий Логистик,Картридж для принтера,45,117900,5305500,,Айгуль Нурланова
2024-08-16,РН-202408-0291,ТОО КазОфисТорг,Калькулятор,10,68200,682000,2024-09-03,Айгуль Нурланова
2024-08-16,РН-202408-0292,ТОО Nur Business Group,Флеш-накопитель 32 ГБ,26,25700,668200,2024-08-30,Тимур Сергеев
2024-08-16,РН-202408-0293,ТОО Silk Way Trading,Монитор 24 дюйма,20,26100,522000,2024-08-24,Дана Оспанова
2024-08-19,РН-202408-0294,ТОО КазОфисТорг,Папки-регистраторы,25,103900,2597500,2024-09-17,Дана Оспанова
2024-08-20,РН-202408-0295,ИП Ахметов Е.С.,Принтер лазерный,32,118700,3798400,2024-08-30,Дана Оспанова
2024-08-22,РН-202408-0296,ТОО Аспан Технолоджи,Калькулятор,3,65200,195600,2024-09-16,Айгуль Нурланова
2024-08-22,РН-202408-0297,ТОО Shymkent Opt,Бумага А4 (пачка),3,24500,73500,2024-08-26,Дана Оспанова
2024-08-23,РН-202408-0298,ТОО Батыс Снаб,Ноутбук офисный,12,87400,1048800,2024-09-21,Айгуль Нурланова
2024-08-27,РН-202408-0299,ИП Иванова О.В.,Папки-регистраторы,5,83500,417500,2024-09-15,Айгуль Нурланова
2024-08-27,РН-202408-0300,ТОО Батыс Снаб,Шредер бумаги,35,92000,3220000,2024-09-25,Тимур Сергеев
2024-08-28,РН-202408-0301,ТОО Silk Way Trading,Принтер лазерный,33,95700,3158100,,Айгуль Нурланова
2024-08-29,РН-202408-0302,ТОО Достык Trade,Картридж для принтера,5,94300,471500,2024-09-01,Дана Оспанова
2024-08-30,РН-202408-0303,ТОО Жетысу Маркет,Ручки шариковые (уп. 50 шт),2,76700,153400,2024-09-18,Тимур Сергеев
2024-08-30,РН-202408-0304,ТОО Астана Комплект,МФУ струйное,44,104600,4602400,2024-09-13,Айгуль Нурланова
2024-08-31,РН-202408-0305,ТОО Silk Way Trading,Принтер лазерный,6,75200,451200,2024-09-01,Айгуль Нурланова
2024-09-02,РН-202409-0306,ТОО Silk Way Trading,Папки-регистраторы,21,99600,2091600,,Айгуль Нурланова
2024-09-03,РН-202409-0307,ТОО Nur Business Group,Степлер,24,75700,1816800,,Айгуль Нурланова
2024-09-03,РН-202409-0308,ИП Ахметов Е.С.,Папки-регистраторы,29,139300,4039700,,Тимур Сергеев
2024-09-04,РН-202409-0309,ТОО КазОфисТорг,Ручки шариковые (уп. 50 шт),36,29400,1058400,2024-09-23,Дана Оспанова
2024-09-04,РН-202409-0310,ТОО Алматы Строй Сервис,Бумага А4 (пачка),27,106700,2880900,2024-09-18,Айгуль Нурланова
2024-09-06,РН-202409-0311,ИП Тлеуов Б.М.,Калькулятор,11,104800,1152800,,Айгуль Нурланова
2024-09-06,РН-202409-0312,ТОО Nur Business Group,Бумага А4 (пачка),32,43300,1385600,,Айгуль Нурланова
2024-09-07,РН-202409-0313,ТОО Nur Business Group,Папки-регистраторы,20,131900,2638000,2024-09-12,Айгуль Нурланова
2024-09-09,РН-202409-0314,ТОО Батыс Снаб,Степлер,39,56300,2195700,,Тимур Сергеев
2024-09-09,РН-202409-0315,ТОО Nur Business Group,Ноутбук офисный,26,92100,2394600,2024-09-12,Дана Оспанова
2024-09-10,РН-202409-0316,ИП Смагулова А.К.,Папки-регистраторы,42,40700,1709400,2024-09-11,Тимур Сергеев
2024-09-10,РН-202409-0317,ТОО Shymkent Opt,Ручки шариковые (уп. 50 шт),12,109400,1312800,2024-10-02,Тимур Сергеев
2024-09-11,РН-202409-0318,ИП Тлеуов Б.М.,Флеш-накопитель 32 ГБ,16,90400,1446400,2024-09-13,Тимур Сергеев
2024-09-11,РН-202409-0319,ТОО КазОфисТорг,Шредер бумаги,37,57400,2123800,2024-10-05,Дана Оспанова
2024-09-11,РН-202409-0320,ТОО Алматы Строй Сервис,Проектор,30,60000,1800000,2024-09-11,Тимур Сергеев
2024-09-11,РН-202409-0321,ИП Иванова О.В.,Картридж для принтера,27,135900,3669300,2024-10-09,Айгуль Нурланова
2024-09-12,РН-202409-0322,ИП Ахметов Е.С.,Проектор,28,103800,2906400,2024-10-07,Айгуль Нурланова
2024-09-12,РН-202409-0323,ТОО Астана Комплект,Калькулятор,33,114700,3785100,,Дана Оспанова
2024-09-12,РН-202409-0324,ИП Смагулова А.К.,Проектор,35,27300,955500,2024-09-30,Айгуль Нурланова
2024-09-14,РН-202409-0325,ИП Ахметов Е.С.,Стол офисный,40,16600,664000,2024-10-03,Дана Оспанова
2024-09-16,РН-202409-0326,ТОО Жетысу Маркет,Ручки шариковые (уп. 50 шт),28,32800,918400,,Айгуль Нурланова
2024-09-16,РН-202409-0327,ТОО Достык Trade,Калькулятор,48,141000,6768000,2024-10-07,Дана Оспанова
2024-09-17,РН-202409-0328,ИП Смагулова А.К.,Папки-регистраторы,30,136200,4086000,2024-09-27,Айгуль Нурланова
2024-09-17,РН-202409-0329,ТОО Nur Business Group,Папки-регистраторы,6,35400,212400,,Дана Оспанова
2024-09-18,РН-202409-0330,ТОО Nur Business Group,Ручки шариковые (уп. 50 шт),30,59200,1776000,2024-10-09,Дана Оспанова
2024-09-18,РН-202409-0331,ТОО Silk Way Trading,Проектор,29,88600,2569400,2024-09-18,Айгуль Нурланова
2024-09-20,РН-202409-0332,ТОО Алматы Строй Сервис,Картридж для принтера,22,33700,741400,2024-09-25,Дана Оспанова
2024-09-21,РН-202409-0333,ТОО Достык Trade,Калькулятор,12,149700,1796400,2024-10-12,Айгуль Нурланова
2024-09-23,РН-202409-0334,ТОО Достык Trade,Флеш-накопитель 32 ГБ,26,53400,1388400,2024-09-30,Айгуль Нурланова
2024-09-23,РН-202409-0335,ТОО Silk Way Trading,Кресло офисное,13,122900,1597700,2024-10-06,Дана Оспанова
2024-09-24,РН-202409-0336,ТОО Достык Trade,Бумага А4 (пачка),49,21400,1048600,,Дана Оспанова
2024-09-24,РН-202409-0337,ИП Иванова О.В.,Калькулятор,12,100900,1210800,,Тимур Сергеев
2024-09-24,РН-202409-0338,ТОО КазОфисТорг,Бумага А4 (пачка),43,133300,5731900,2024-10-13,Дана Оспанова
2024-09-25,РН-202409-0339,ИП Тлеуов Б.М.,Папки-регистраторы,38,34900,1326200,2024-10-07,Тимур Сергеев
2024-09-25,РН-202409-0340,ИП Иванова О.В.,Стол офисный,46,83000,3818000,2024-10-12,Дана Оспанова
2024-09-26,РН-202409-0341,ТОО КазОфисТорг,Монитор 24 дюйма,20,35700,714000,2024-10-15,Айгуль Нурланова
2024-09-26,РН-202409-0342,ТОО Астана Комплект,Кресло офисное,9,105600,950400,,Тимур Сергеев
2024-09-26,РН-202409-0343,ТОО Батыс Снаб,Калькулятор,45,50400,2268000,,Дана Оспанова
2024-09-27,РН-202409-0344,ТОО Nur Business Group,МФУ струйное,12,87500,1050000,2024-09-27,Тимур Сергеев
2024-09-28,РН-202409-0345,ТОО Shymkent Opt,МФУ струйное,13,105600,1372800,2024-10-26,Дана Оспанова
2024-10-02,РН-202410-0346,ТОО Shymkent Opt,Папки-регистраторы,46,121400,5584400,,Тимур Сергеев
2024-10-03,РН-202410-0347,ИП Тлеуов Б.М.,Ноутбук офисный,49,62800,3077200,,Тимур Сергеев
2024-10-03,РН-202410-0348,ТОО Достык Trade,Калькулятор,19,49100,932900,2024-10-06,Тимур Сергеев
2024-10-03,РН-202410-0349,ТОО Каспий Логистик,Калькулятор,8,34900,279200,2024-10-05,Тимур Сергеев
2024-10-05,РН-202410-0350,ТОО Каспий Логистик,Картридж для принтера,49,15900,779100,2024-10-25,Дана Оспанова
2024-10-05,РН-202410-0351,ТОО КазОфисТорг,Проектор,42,69900,2935800,2024-10-20,Тимур Сергеев
2024-10-07,РН-202410-0352,ИП Смагулова А.К.,Картридж для принтера,6,120100,720600,2024-11-06,Айгуль Нурланова
2024-10-08,РН-202410-0353,ИП Тлеуов Б.М.,Проектор,23,117200,2695600,2024-10-14,Айгуль Нурланова
2024-10-10,РН-202410-0354,ТОО Достык Trade,Флеш-накопитель 32 ГБ,4,97000,388000,2024-10-27,Дана Оспанова
2024-10-10,РН-202410-0355,ТОО Silk Way Trading,Бумага А4 (пачка),19,75100,1426900,2024-10-20,Дана Оспанова
2024-10-10,РН-202410-0356,ИП Ахметов Е.С.,Флеш-накопитель 32 ГБ,27,20500,553500,2024-10-21,Тимур Сергеев
2024-10-11,РН-202410-0357,ТОО Достык Trade,МФУ струйное,46,89400,4112400,2024-11-02,Айгуль Нурланова
2024-10-11,РН-202410-0358,ИП Ахметов Е.С.,Кресло офисное,41,75400,3091400,2024-11-07,Дана Оспанова
2024-10-11,РН-202410-0359,ТОО Жетысу Маркет,Шредер бумаги,50,29400,1470000,2024-10-29,Тимур Сергеев
2024-10-11,РН-202410-0360,ТОО Shymkent Opt,Степлер,21,5600,117600,,Дана Оспанова
2024-10-14,РН-202410-0361,ТОО Shymkent Opt,Стол офисный,43,98900,4252700,2024-11-03,Айгуль Нурланова
2024-10-15,РН-202410-0362,ИП Иванова О.В.,Монитор 24 дюйма,32,75400,2412800,2024-11-09,Тимур Сергеев
2024-10-15,РН-202410-0363,ИП Ахметов Е.С.,Кресло офисное,32,95100,3043200,2024-11-11,Дана Оспанова
2024-10-15,РН-202410-0364,ТОО Жетысу Маркет,Картридж для принтера,30,9300,279000,2024-11-05,Айгуль Нурланова
2024-10-15,РН-202410-0365,ТОО Алматы Строй Сервис,Папки-регистраторы,13,39600,514800,2024-10-17,Дана Оспанова
2024-10-17,РН-202410-0366,ТОО КазОфисТорг,Стол офисный,24,70600,1694400,2024-10-18,Айгуль Нурланова
2024-10-17,РН-202410-0367,ТОО Алматы Строй Сервис,Папки-регистраторы,41,85100,3489100,2024-11-13,Дана Оспанова
2024-10-18,РН-202410-0368,ТОО КазОфисТорг,Проектор,7,5300,37100,2024-11-01,Айгуль Нурланова
2024-10-19,РН-202410-0369,ТОО Каспий Логистик,Стол офисный,29,7400,214600,2024-10-25,Айгуль Нурланова
2024-10-19,РН-202410-0370,ТОО Астана Комплект,Проектор,9,130200,1171800,2024-10-29,Айгуль Нурланова
2024-10-21,РН-202410-0371,ТОО КазОфисТорг,Ручки шариковые (уп. 50 шт),24,83400,2001600,2024-10-27,Айгуль Нурланова
2024-10-21,РН-202410-0372,ИП Ахметов Е.С.,Стол офисный,44,42400,1865600,2024-11-17,Айгуль Нурланова
2024-10-22,РН-202410-0373,ИП Ахметов Е.С.,Степлер,23,60900,1400700,2024-10-26,Дана Оспанова
2024-10-22,РН-202410-0374,ТОО Батыс Снаб,Степлер,14,27700,387800,,Айгуль Нурланова
2024-10-22,РН-202410-0375,ТОО КазОфисТорг,Кресло офисное,47,105700,4967900,2024-11-02,Тимур Сергеев
2024-10-23,РН-202410-0376,ТОО Достык Trade,Бумага А4 (пачка),42,27100,1138200,2024-11-18,Айгуль Нурланова
2024-10-25,РН-202410-0377,ТОО Nur Business Group,Флеш-накопитель 32 ГБ,45,12000,540000,2024-11-20,Дана Оспанова
2024-10-26,РН-202410-0378,ТОО Каспий Логистик,Монитор 24 дюйма,48,107700,5169600,2024-11-01,Тимур Сергеев
2024-10-28,РН-202410-0379,ТОО Достык Trade,Степлер,25,34600,865000,2024-11-20,Айгуль Нурланова
2024-10-28,РН-202410-0380,ТОО Аспан Технолоджи,Ноутбук офисный,24,88000,2112000,2024-10-31,Айгуль Нурланова
2024-10-28,РН-202410-0381,ИП Смагулова А.К.,Калькулятор,44,50300,2213200,2024-10-28,Тимур Сергеев
2024-10-29,РН-202410-0382,ИП Тлеуов Б.М.,Принтер лазерный,1,73700,73700,,Айгуль Нурланова
2024-10-29,РН-202410-0383,ТОО Алматы Строй Сервис,Флеш-накопитель 32 ГБ,26,137800,3582800,2024-11-18,Тимур Сергеев
2024-10-31,РН-202410-0384,ТОО Астана Комплект,Проектор,26,26600,691600,2024-11-15,Дана Оспанова
2024-10-31,РН-202410-0385,ТОО КазОфисТорг,Бумага А4 (пачка),6,139000,834000,2024-11-17,Айгуль Нурланова
2024-11-01,РН-202411-0386,ТОО Астана Комплект,Кресло офисное,41,22300,914300,2024-11-15,Тимур Сергеев
2024-11-02,РН-202411-0387,ТОО Алматы Строй Сервис,Монитор 24 дюйма,6,118900,713400,2024-11-18,Айгуль Нурланова
2024-11-02,РН-202411-0388,ТОО Батыс Снаб,Проектор,43,51000,2193000,,Айгуль Нурланова
2024-11-04,РН-202411-0389,ИП Ахметов Е.С.,Проектор,1,47900,47900,2024-12-04,Тимур Сергеев
2024-11-05,РН-202411-0390,ТОО Nur Business Group,МФУ струйное,24,38300,919200,2024-11-15,Дана Оспанова
2024-11-06,РН-202411-0391,ТОО Жетысу Маркет,Шредер бумаги,2,92800,185600,2024-12-05,Тимур Сергеев
2024-11-06,РН-202411-0392,ИП Тлеуов Б.М.,Стол офисный,5,135100,675500,2024-12-01,Тимур Сергеев
2024-11-06,РН-202411-0393,ИП Ахметов Е.С.,Ручки шариковые (уп. 50 шт),11,71900,790900,2024-11-16,Айгуль Нурланова
2024-11-08,РН-202411-0394,ТОО Достык Trade,Проектор,33,5700,188100,2024-11-16,Айгуль Нурланова
2024-11-08,РН-202411-0395,ТОО Shymkent Opt,Ручки шариковые (уп. 50 шт),25,44300,1107500,2024-11-12,Айгуль Нурланова
2024-11-09,РН-202411-0396,ТОО Жетысу Маркет,Шредер бумаги,46,114900,5285400,2024-12-09,Айгуль Нурланова
2024-11-09,РН-202411-0397,ИП Смагулова А.К.,Бумага А4 (пачка),5,102700,513500,2024-11-10,Айгуль Нурланова
2024-11-09,РН-202411-0398,ТОО Достык Trade,Флеш-накопитель 32 ГБ,34,17000,578000,,Тимур Сергеев
2024-11-11,РН-202411-0399,ТОО Shymkent Opt,Картридж для принтера,19,86400,1641600,,Тимур Сергеев
2024-11-11,РН-202411-0400,ТОО Shymkent Opt,Ноутбук офисный,24,57600,1382400,2024-12-07,Тимур Сергеев
2024-11-11,РН-202411-0401,ТОО Достык Trade,Степлер,24,134300,3223200,2024-11-25,Айгуль Нурланова
2024-11-13,РН-202411-0402,ИП Ахметов Е.С.,Ноутбук офисный,27,11300,305100,2024-12-12,Айгуль Нурланова
2024-11-13,РН-202411-0403,ТОО Аспан Технолоджи,Ноутбук офисный,22,5400,118800,2024-11-29,Дана Оспанова
2024-11-13,РН-202411-0404,ТОО КазОфисТорг,Монитор 24 дюйма,34,67400,2291600,2024-11-24,Тимур Сергеев
2024-11-16,РН-202411-0405,ТОО Silk Way Trading,Бумага А4 (пачка),6,16500,99000,2024-12-15,Айгуль Нурланова
2024-11-18,РН-202411-0406,ТОО Аспан Технолоджи,Ручки шариковые (уп. 50 шт),30,27300,819000,,Дана Оспанова
2024-11-18,РН-202411-0407,ИП Ахметов Е.С.,Стол офисный,26,24600,639600,2024-11-29,Дана Оспанова
2024-11-19,РН-202411-0408,ТОО Достык Trade,Бумага А4 (пачка),17,87600,1489200,2024-12-06,Тимур Сергеев
2024-11-19,РН-202411-0409,ТОО Shymkent Opt,Бумага А4 (пачка),15,24600,369000,,Айгуль Нурланова
2024-11-19,РН-202411-0410,ТОО Жетысу Маркет,Кресло офисное,7,45700,319900,,Айгуль Нурланова
2024-11-21,РН-202411-0411,ТОО Shymkent Opt,Ручки шариковые (уп. 50 шт),27,36600,988200,2024-11-24,Дана Оспанова
2024-11-22,РН-202411-0412,ТОО Nur Business Group,Степлер,17,36400,618800,,Айгуль Нурланова
2024-11-22,РН-202411-0413,ТОО Батыс Снаб,Бумага А4 (пачка),46,15600,717600,2024-12-01,Айгуль Нурланова
2024-11-22,РН-202411-0414,ТОО Silk Way Trading,Монитор 24 дюйма,23,108900,2504700,,Дана Оспанова
2024-11-23,РН-202411-0415,ТОО Nur Business Group,Бумага А4 (пачка),12,13100,157200,2024-12-17,Тимур Сергеев
2024-11-23,РН-202411-0416,ТОО Достык Trade,Принтер лазерный,30,31700,951000,,Айгуль Нурланова
2024-11-23,РН-202411-0417,ТОО Алматы Строй Сервис,Картридж для принтера,50,63300,3165000,,Айгуль Нурланова
2024-11-25,РН-202411-0418,ТОО Астана Комплект,Ручки шариковые (уп. 50 шт),44,27000,1188000,2024-11-25,Дана Оспанова
2024-11-25,РН-202411-0419,ТОО Алматы Строй Сервис,Принтер лазерный,13,121200,1575600,,Айгуль Нурланова
2024-11-26,РН-202411-0420,ИП Иванова О.В.,Картридж для принтера,22,37100,816200,2024-12-21,Айгуль Нурланова
2024-11-26,РН-202411-0421,ТОО Астана Комплект,Картридж для принтера,47,108500,5099500,,Тимур Сергеев
2024-11-27,РН-202411-0422,ТОО Батыс Снаб,Папки-регистраторы,12,97800,1173600,2024-12-18,Айгуль Нурланова
2024-11-27,РН-202411-0423,ТОО Аспан Технолоджи,МФУ струйное,3,69400,208200,2024-12-21,Дана Оспанова
2024-11-27,РН-202411-0424,ТОО Shymkent Opt,Ноутбук офисный,6,78300,469800,,Тимур Сергеев
2024-11-27,РН-202411-0425,ТОО Достык Trade,Стол офисный,34,70300,2390200,2024-12-04,Дана Оспанова
2024-11-27,РН-202411-0426,ТОО Астана Комплект,Флеш-накопитель 32 ГБ,46,99100,4558600,2024-12-22,Тимур Сергеев
2024-11-27,РН-202411-0427,ТОО Каспий Логистик,Ручки шариковые (уп. 50 шт),25,75900,1897500,,Айгуль Нурланова
2024-11-28,РН-202411-0428,ИП Тлеуов Б.М.,Монитор 24 дюйма,2,78600,157200,2024-12-16,Айгуль Нурланова
2024-11-28,РН-202411-0429,ТОО Жетысу Маркет,Кресло офисное,15,46800,702000,2024-12-22,Айгуль Нурланова
2024-11-28,РН-202411-0430,ИП Иванова О.В.,Флеш-накопитель 32 ГБ,48,19700,945600,2024-12-01,Айгуль Нурланова
2024-11-30,РН-202411-0431,ИП Смагулова А.К.,Шредер бумаги,12,51200,614400,2024-12-05,Айгуль Нурланова
2024-11-30,РН-202411-0432,ИП Смагулова А.К.,Шредер бумаги,38,12400,471200,2024-12-04,Дана Оспанова
2024-11-30,РН-202411-0433,ИП Ахметов Е.С.,Кресло офисное,13,134000,1742000,2024-12-09,Дана Оспанова
2024-12-02,РН-202412-0434,ТОО Алматы Строй Сервис,Монитор 24 дюйма,39,62400,2433600,2024-12-28,Айгуль Нурланова
2024-12-02,РН-202412-0435,ТОО Достык Trade,Флеш-накопитель 32 ГБ,9,94300,848700,,Дана Оспанова
2024-12-02,РН-202412-0436,ТОО Жетысу Маркет,Картридж для принтера,21,20600,432600,,Айгуль Нурланова
2024-12-03,РН-202412-0437,ТОО Silk Way Trading,Шредер бумаги,10,34100,341000,2024-12-05,Дана Оспанова
